city,ep0,ep0F,ep1F,deltaExposure0,deltaExposure1,deltaNDVIGlobal0,deltaNDVIGlobal1,deltaNDVILocal,di
Chennai,61662886.032304235,39738839.44391027,42551420.14662964,-35.554687753194514,-30.993466435648816,112.66263946181948,28.11859856436134,0.77,0.5
Boston,38280295.582565546,34178501.304974645,34423790.04642224,-10.715158321449927,-10.074388082571957,19.33819704351189,11.043792512313397,0.7400000000000001,0.5
St. Louis,17657119.233186685,15300841.502938122,15655754.31992095,-13.344632831271376,-11.334606097602574,34.07623252367423,12.37840421818973,0.67,0.5
Naples,59453830.5742854,50123583.670585304,50704216.91342061,-15.693264527408868,-14.716652529112432,49.78231353440668,16.535029293271876,0.76,0.5
Singapore,18907258.351646364,4688460.762741548,6807878.112679675,-75.20285238852044,-63.993308886653715,66.95491988609078,18.004882092533183,0.8,0.5
Las Vegas,42708985.68704696,36705684.35467629,36689404.83369371,-14.05629573214469,-14.094413052705447,366.3239432679559,89.4150802616883,0.64,0.5
Lima,42539013.59662859,21918311.960894056,21797436.906884074,-48.47479970097102,-48.758950751477656,371.45357522188203,90.73082141551859,0.64,0.5
San Antonio,20196116.38699411,16222627.053530782,16965772.419706196,-19.67452186016403,-15.994876962425257,78.5552815849095,23.266917847458206,0.65,0.5
Hyderabad,98546063.62489471,78637923.65718831,79419687.01853335,-20.20186219054335,-19.40856478972505,161.64234378735077,39.745934085728535,0.79,0.5
Columbus,12301291.531305812,10037333.301161408,10386874.879795538,-18.404231981518443,-15.562728894264763,30.373882079584078,12.111243355374837,0.66,0.5
Accra,19203071.225726206,9374858.037327426,9657544.180570835,-51.180423552415924,-49.70833536443536,109.42913491834467,43.41219454355527,0.7400000000000001,0.5
Wuhan,69933881.59688535,52885846.10823198,54236500.47479354,-24.377362015913963,-22.44603154244327,81.08845754271377,17.334062829775597,0.78,0.5
Bradenton,4528813.272761336,3397846.9393525682,3567432.111801284,-24.972686337301507,-21.228103325484923,40.55046580103848,12.302789018753193,0.67,0.5
Sacramento,28886689.256725997,24163990.93659123,24873534.518647145,-16.349046712008125,-13.892747287210927,108.43260537249266,26.979176236184415,0.68,0.5
Chattogram,42508258.26231131,32885280.86212682,34133086.82598129,-22.637900948099816,-19.70245730758538,37.58612193421178,11.510595868345034,0.8,0.5
Baghdad,140332962.9008119,125843613.40719818,125738645.0979875,-10.324979387668801,-10.39977885533547,234.05110478269194,47.90890005899554,0.64,0.5
Onitsha,12174279.962291615,3483265.5618955446,4751949.129286351,-71.38832380490227,-60.967308588229045,100.78708940515712,35.813955209604224,0.8,0.5
Madrid,120442047.15031028,103764213.88025893,104203980.21886395,-13.847185152239735,-13.482058231027416,179.52352597302757,39.57255775059056,0.79,0.5
Milwaukee,13969665.304505842,11633872.786669564,11898886.626878537,-16.720461563834895,-14.823395067019865,29.690535418508784,12.678456393473976,0.7100000000000001,0.5
Luanda,26575739.44232724,11971477.899832733,11900010.975880452,-54.953359149940596,-55.22227706324032,119.23941617449759,40.77822155333359,0.65,0.5
Perth,19895667.0760905,16264176.88852316,16692968.949130863,-18.252668652319088,-16.097465416520063,131.51049119268734,49.07358247752156,0.75,0.5
Dubai,33868851.57412478,24604501.38898644,24544546.06942351,-27.353600002830177,-27.53062200616474,449.28505643801685,136.8010893490335,0.64,0.5
Milan,63506915.35798368,53338940.494293496,54343000.67214728,-16.010815210239826,-14.429790258557047,43.04191913737959,19.104746051648537,0.68,0.5
Karachi,162350576.37594646,129042760.30964768,128792656.70040011,-20.51598264065886,-20.670034209079795,297.74614445492983,69.1889200084692,0.64,0.5
Khartoum,40540394.85175746,27704020.808769032,27616819.229440197,-31.66316975926533,-31.878267761264823,330.84997175408404,90.34787300057052,0.64,0.5
Semarang,16583519.46838224,9970482.201211846,10575999.105746336,-39.87716407110481,-36.22584683600912,33.04732947606461,13.86993293929107,0.79,0.5
Durban,20383446.171612196,15709009.142389588,16288819.375099607,-22.93251587522352,-20.088000635609554,28.275090643027195,11.272136039681488,0.7400000000000001,0.5
Baltimore,18424367.773734946,15712393.028080551,15966195.181654815,-14.719499626578662,-13.341964415106853,21.84804881354812,10.83789138646107,0.78,0.5
Medan,11368702.83429682,4136083.241409247,4585951.25453865,-63.61868806235648,-59.66161380607235,33.41404791612178,12.471440689629476,0.7100000000000001,0.5
Algiers,56849806.60521345,45787449.15882567,45940128.42721332,-19.458918344628625,-19.19035231511175,130.85349467913622,47.297557639591034,0.8200000000000001,0.5
Kochi,8993488.144369401,4690416.391532347,5248779.186726744,-47.846527217930465,-41.638004048374995,37.68946397216303,19.832224086145708,0.68,0.5
Santiago,105381329.45502874,88837341.68469137,88756006.39738634,-15.699164032085479,-15.776345908349183,139.15817110755947,42.02279275829966,0.66,0.5
Vancouver,25625735.008123524,20809168.506229036,21456754.603210956,-18.795817955534176,-16.268725184237542,37.67878053424372,14.793727082226335,0.79,0.5
Tianjin,143970692.61376724,122449278.94115144,124492538.92380889,-14.94846852640466,-13.52924913837342,87.81001556603086,17.718744215998647,0.66,0.5
Cape Town,53248419.167736486,43591621.317923486,43568373.734025046,-18.13537002740563,-18.179028758053033,129.76814093419696,39.7092412553252,0.6900000000000001,0.5
Noakhali,9060637.33430558,2797225.6138774287,4084674.130255064,-69.1277168407733,-54.91846787874863,62.80789958892505,31.724461683535583,0.55,0.5
Berlin,48579822.77977828,40614724.312186025,41740305.42433293,-16.395898568217476,-14.078926113934589,36.942562633928354,14.44416301026983,0.66,0.5
Wenzhou,31936133.802569676,21806709.158544328,22340632.155635484,-31.717754899969467,-30.045908832465216,54.690202460450834,20.224281718636664,0.77,0.5
Manchester,29291204.1659927,22580392.803275496,23435839.080051534,-22.91067080986894,-19.990182215653963,36.3632153346815,14.800456434752274,0.7300000000000001,0.5
Birmingham,33676042.47277487,26469188.76039499,27607431.53679452,-21.40053635520327,-18.020558505015753,48.11426939985276,17.91621598936977,0.7300000000000001,0.5
Monterrey,47376335.716109686,37931658.44384749,37912104.21648205,-19.935432171996066,-19.976706422251755,97.24024918058397,25.21935361903406,0.66,0.5
Louisville,8449603.057888748,7183322.035724629,7348873.745227983,-14.986278213174637,-13.026994346593574,22.203524497510283,9.884762932559713,0.66,0.5
Virginia Beach,9812109.131385209,8344855.162679337,8595623.71044026,-14.953502341435279,-12.39779750363635,31.13188267538119,15.050132418558043,0.6900000000000001,0.5
