city,ep,year,pop,epdays,epnights
Portland,18758238.116045967,2019,3584192.152307219,18915953.230082814,18600523.002009116
Portland,27301212.903562963,2020,3629492.8676557476,21452139.308717184,33150286.498408746
Chennai,60015092.86242296,2010,11733593.227299236,18717488.85692715,101312696.86791876
Chennai,49079304.921991765,2011,11943360.336426448,28451414.616338857,69707195.22764467
Chennai,42914561.46423778,2012,12153127.45125851,41466029.76840017,44363093.16007538
Chennai,56866449.99037252,2013,12362894.570427641,26663140.247039787,87069759.73370525
Chennai,58227389.148511544,2014,12572661.66222462,51390270.99900025,65064507.29802284
Chennai,19939784.82455893,2015,12782428.775064388,19597597.07336196,20281972.5757559
Chennai,109537439.38339126,2016,12994053.650262704,65996389.31033461,153078489.4564479
Chennai,76354429.52713592,2017,13205678.506568816,97903516.19566718,54805342.85860467
Chennai,24238159.865586426,2018,13417303.368739381,20337262.001273744,28139057.72989911
Chennai,69999608.64582169,2019,13628928.256340578,76149873.54684812,63849343.74479525
Chennai,74861539.90528,2020,13840553.093897168,55606416.33098337,94116663.47957662
Boston,67157583.63005966,2010,4331491.545575168,61349774.422829896,72965392.83728941
Boston,43493111.14266316,2011,4347142.482596597,36851132.03839457,50135090.24693175
Boston,56847399.73906524,2012,4362793.432719514,50271840.81525585,63422958.662874624
Boston,41578202.152274,2013,4378444.38323299,40820766.37478709,42335637.9297609
Boston,35310261.07691749,2014,4394095.327389728,42884011.80331826,27736510.350516718
Boston,52193914.852153435,2015,4409746.265129898,48030223.98700678,56357605.71730009
Boston,65539308.992031135,2016,4418977.255084221,76370052.10271963,54708565.881342635
Boston,38930562.76660241,2017,4428208.248024344,41791343.42616797,36069782.10703685
Boston,54439028.84853816,2018,4437439.2336774655,46745642.23160487,62132415.46547145
Boston,43096307.4646456,2019,4446670.225800551,45293404.949506104,40899209.9797851
Boston,61922318.75210946,2020,4455901.207233544,66834764.994489014,57009872.50972991
St. Louis,28282404.460688524,2010,2452149.667332253,24174785.526151266,32390023.395225786
